0.010077,0.006749,0.005153,0.002713,0.000927,0.000132,0.000000,0.000000
0.011976,0.007616,0.004705,0.003241,0.001169,0.000349,0.000000,0.000000
0.012148,0.009031,0.005461,0.003550,0.001240,0.000408,0.000000,0.000000
0.013479,0.008818,0.005929,0.003648,0.001624,0.000644,0.000000,0.000000
0.014209,0.010099,0.006613,0.004829,0.002072,0.000660,0.000037,0.000000
0.015203,0.008897,0.006931,0.004635,0.002484,0.001178,0.000071,0.000000
0.014009,0.010204,0.007409,0.003825,0.002341,0.000844,0.000145,0.000000
0.016693,0.012136,0.008116,0.004336,0.002455,0.001442,0.000261,0.000000
0.016076,0.010798,0.007273,0.004047,0.002124,0.001195,0.000469,0.000000
0.014816,0.010781,0.006781,0.004310,0.002050,0.001251,0.000458,0.000000
0.016584,0.010483,0.005829,0.003896,0.002321,0.001418,0.000353,0.000000
0.013354,0.010073,0.006422,0.003012,0.002326,0.000862,0.000601,0.000000
0.012341,0.007827,0.005099,0.003690,0.001876,0.001085,0.000464,0.000000
0.010505,0.006603,0.004093,0.003004,0.001571,0.000791,0.000294,0.000000
0.009889,0.005937,0.003975,0.002362,0.001097,0.000790,0.000353,0.000000
0.007490,0.004037,0.003223,0.001907,0.001075,0.000389,0.000345,0.000000
0.005301,0.003861,0.001581,0.001360,0.000293,0.000325,0.000143,0.000000
0.002908,0.001832,0.001213,0.000421,0.000298,0.000035,0.000000,0.000000
0.000935,0.000518,0.000370,0.000148,0.000038,0.000000,0.000000,0.000000
0.000092,0.000095,0.000113,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
